id,code,short,name,lon,lat
11,"bj","北京","北京市","116.407387","39.904179"
12,"tj","天津","天津市","117.201509","39.085318"
13,"he","河北","河北省","114.530399","38.037707"
14,"sx","山西","山西省","112.578781","37.813948"
15,"nm","内蒙古","内蒙古自治区","111.765226","40.818233"
21,"ln","辽宁","辽宁省","123.435093","41.836743"
22,"jl","吉林","吉林省","125.325802","43.896942"
23,"hl","黑龙江","黑龙江省","126.661998","45.742253"
31,"sh","上海","上海市","121.473667","31.230525"
32,"js","江苏","江苏省","118.763563","32.061377"
33,"zj","浙江","浙江省","120.152575","30.266619"
34,"ah","安徽","安徽省","117.330139","31.734559"
35,"fj","福建","福建省","119.296194","26.101082"
36,"jx","江西","江西省","115.816587","28.637234"
37,"sd","山东","山东省","117.020725","36.670201"
41,"ha","河南","河南省","113.753094","34.767052"
42,"hb","湖北","湖北省","114.341552","30.546222"
43,"hn","湖南","湖南省","112.982951","28.116007"
44,"gd","广东","广东省","113.266887","23.133306"
45,"gx","广西","广西壮族自治区","108.327537","22.816659"
46,"hi","海南","海南省","110.348781","20.018639"
50,"cq","重庆","重庆市","106.550483","29.563707"
51,"sc","四川","四川省","104.076452","30.651696"
52,"gz","贵州","贵州省","106.705251","26.600328"
53,"yn","云南","云南省","102.709372","25.046432"
54,"xz","西藏","西藏自治区","91.117449","29.648694"
61,"sn","陕西","陕西省","108.953939","34.266611"
62,"gs","甘肃","甘肃省","103.826777","36.060634"
63,"qh","青海","青海省","101.780482","36.622538"
64,"nx","宁夏","宁夏回族自治区","106.258889","38.472273"
65,"xj","新疆","新疆维吾尔自治区","87.628579","43.793301"
71,"tw","台湾","台湾省","121.509062","25.044332"
81,"hk","香港","香港特别行政区","114.171203","22.277468"
82,"mo","澳门","澳门特别行政区","113.543076","22.186927"
